Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 86025 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177713.1?report=genbank&log$=nucltop&blast_rank=1&RID=UXBJAYZS014"",""CP177713.1"")"
"Yersinia pestis strain 680169 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177500.1?report=genbank&log$=nucltop&blast_rank=2&RID=UXBJAYZS014"",""CP177500.1"")"
"Yersinia pestis strain 56008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101723,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177607.1?report=genbank&log$=nucltop&blast_rank=3&RID=UXBJAYZS014"",""CP177607.1"")"
"Yersinia pestis strain 34011 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177680.1?report=genbank&log$=nucltop&blast_rank=4&RID=UXBJAYZS014"",""CP177680.1"")"
"Yersinia pestis strain 52005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177999.1?report=genbank&log$=nucltop&blast_rank=5&RID=UXBJAYZS014"",""CP177999.1"")"
"Yersinia pestis strain 74008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177470.1?report=genbank&log$=nucltop&blast_rank=6&RID=UXBJAYZS014"",""CP177470.1"")"
"Yersinia pestis strain 46507 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177557.1?report=genbank&log$=nucltop&blast_rank=7&RID=UXBJAYZS014"",""CP177557.1"")"
"Yersinia pestis strain 6/69 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166967.1?report=genbank&log$=nucltop&blast_rank=8&RID=UXBJAYZS014"",""CP166967.1"")"
"Yersinia pestis strain 15002 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177523.1?report=genbank&log$=nucltop&blast_rank=9&RID=UXBJAYZS014"",""CP177523.1"")"
"Yersinia pestis strain O010008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177703.1?report=genbank&log$=nucltop&blast_rank=10&RID=UXBJAYZS014"",""CP177703.1"")"
