Cluster Composition,Cluster Ancestor,Representative sequence,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
2 member(s) 1 organism(s),firmicutes,"penicillin binding protein 2', partial [Staphylococcus aureus]",1280,176,176,100%,1e-54,96.67,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADX01219.1?report=genbank&log$=prottop&blast_rank=1&RID=UKXXJH06014"",""ADX01219.1"")"
1 member(s) 1 organism(s),firmicutes,"methicillin-resistance protein, partial [Staphylococcus aureus]",1280,173,173,100%,4e-54,96.67,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QXC47136.1?report=genbank&log$=prottop&blast_rank=2&RID=UKXXJH06014"",""QXC47136.1"")"
1 member(s) 1 organism(s),firmicutes,NTF2-like N-terminal transpeptidase domain-containing protein [Staphylococcus aureus],1280,174,174,100%,4e-54,96.67,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDN8796063.1?report=genbank&log$=prottop&blast_rank=3&RID=UKXXJH06014"",""MDN8796063.1"")"
2 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,4e-54,96.67,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDM0318944.1?report=genbank&log$=prottop&blast_rank=4&RID=UKXXJH06014"",""HDM0318944.1"")"
2 member(s) 2 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1279,176,176,100%,4e-54,96.67,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAR3792971.1?report=genbank&log$=prottop&blast_rank=5&RID=UKXXJH06014"",""HAR3792971.1"")"
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,4e-54,96.67,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDW7690957.1?report=genbank&log$=prottop&blast_rank=6&RID=UKXXJH06014"",""HDW7690957.1"")"
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,175,175,100%,5e-54,96.67,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCS4569885.1?report=genbank&log$=prottop&blast_rank=7&RID=UKXXJH06014"",""MCS4569885.1"")"
2 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,5e-54,96.67,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCZ1168967.1?report=genbank&log$=prottop&blast_rank=8&RID=UKXXJH06014"",""HCZ1168967.1"")"
1 member(s) 1 organism(s),firmicutes,NTF2-like N-terminal transpeptidase domain-containing protein [Staphylococcus epidermidis],1282,175,175,100%,5e-54,96.67,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDU7925175.1?report=genbank&log$=prottop&blast_rank=9&RID=UKXXJH06014"",""MDU7925175.1"")"
14 member(s) 2 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus pseudintermedius]",1279,176,176,100%,5e-54,96.67,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_390485598.1?report=genbank&log$=prottop&blast_rank=10&RID=UKXXJH06014"",""WP_390485598.1"")"
